Wavelength,abco
229,447.4200265
230,350.4872054
231,312.0369341
232,281.0488833
233,254.0546288
234,240.0507417
235,227.5868764
236,221.016597
237,215.5725181
238,311.698013
239,271.7612745
240,271.756751
241,247.5831723
242,229.8958724
243,228.835201
244,226.8281065
245,224.4207384
246,238.3335178
247,235.1492707
248,232.1595881
249,252.4855457
250,247.8377272
251,283.1313027
252,277.8241135
253,338.4998882
254,349.2920151
255,364.1664504
256,383.5932417
257,387.3667663
258,419.4847999
259,436.0736014
260,425.926318
261,456.447518
262,450.2732114
263,491.1888692
264,478.8463514
265,482.3597778
266,448.3541688
267,458.2772992
268,410.1942017
269,378.1294962
270,354.8002571
271,357.7284716
272,344.0082299
273,326.4328236
274,263.8486834
275,210.4518337
276,168.6413332
277,136.3045943
278,111.7687331
279,94.24968104
280,83.17966098
281,287.5633797
282,220.3958265
283,168.9409147
284,132.1834966
285,107.6808487
286,91.37249645
287,80.34395344
288,73.20563161
289,68.14480766
290,64.46718214
291,61.78648351
292,59.87227554
293,58.02015664
294,56.44770469
295,54.99524329
296,53.33948169
297,51.97045475
298,50.65819004
299,49.35961485
300,48.14893375
301,46.94724501
302,45.64428844
303,44.48644861
304,43.41345418
305,42.16408252
306,41.12219844
307,39.9184313
308,38.79015233
309,37.81481349
310,36.86814502
311,35.76134352
312,34.82792425
313,33.88544676
314,33.00200826
315,32.10733132
316,31.19249498
317,30.46939807
318,29.59495792
319,28.83043486
320,28.11455037
321,27.42185086
322,26.81050641
323,26.0699731
324,25.44910117
325,24.87891134
326,24.27768563
327,23.6857332
328,23.22013815
329,22.7527407
330,22.25951259
331,21.87803952
332,21.39655271
333,20.92130373
334,20.51403082
335,20.15083153
336,19.79161176
337,19.43629988
338,18.8261916
339,18.12040986
340,18.12102544
341,18.06422715
342,17.82199537
343,17.48649131
344,17.46284702
345,17.56455931
346,17.10807164
347,16.46278613
348,16.25566154
349,15.95795414
350,15.78431761
351,15.61999204
352,15.32761224
353,15.12720486
354,14.95805482
355,14.84906449
356,14.65164161
357,14.45499329
358,14.25980657
359,14.1146398
360,13.92130195
361,13.81575371
362,13.62419148
363,13.51976477
364,13.32960651
365,13.22662736
366,13.12372489
367,12.98346015
368,12.79639507
369,12.69502687
370,12.56417867
371,12.42600899
372,12.32593635
373,12.22626421
374,12.08908672
375,11.99025154
376,11.94521286
377,11.80914497
378,11.71166273
379,11.68190811
380,11.59948707
381,11.43532581
382,11.30120071
383,11.25703904
384,11.07969716
385,10.94686265
386,10.90362582
387,10.85237613
388,10.72848167
389,10.6775307
390,10.6641711
391,10.50360174
392,10.49016322
393,10.41031796
394,10.27996387
395,10.23754303
396,10.18743934
397,10.06599519
398,10.01617988
399,9.974211936
400,9.895335214
401,9.845805779
402,9.725226804
403,9.675981146
404,9.597632338
405,9.585495499
406,9.507355963
407,9.428992905
408,9.417421642
409,9.339593734
410,9.261542259
411,9.250205928
412,9.172360801
413,9.124020435
414,9.083515146
415,9.006303489
416,8.958236113
417,8.917994898
418,8.841087533
419,8.870097409
420,8.792965991
421,8.753311368
422,8.676381468
423,8.628853488
424,8.589133531
425,8.589457585
426,8.541772426
427,8.465566094
428,8.389135415
429,8.455338478
430,8.379006867
431,8.302774068
432,8.226962731
433,8.26388927
434,8.217055128
435,8.141117233
436,8.141117233
437,8.06559928
438,8.055588743
439,8.055910511
440,7.980265247
441,7.904717027
442,7.970696807
443,7.895245381
444,7.819890503
445,7.820211516
446,7.77373503
447,7.698572506
448,7.735695975
449,7.660629261
450,7.660629261
451,7.614728218
452,7.539852391
453,7.576934059
