Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Dew Point Units,DHI Units,DNI Units,GHI Units,Temperature Units,Pressure Units,Wind Direction Units,Wind Speed,Surface Albedo Units,Version
NSRDB,1252757,-,-,-,42.65,-73.74,-5,27,-5,c,w/m2,w/m2,w/m2,c,mbar,Degrees,m/s,N/A,3.1.1
Year,Month,Day,Hour,Minute,DHI,DNI,GHI,Dew Point,Surface Albedo,Wind Speed,Temperature,Pressure,
2013,1,1,0,30,0,0,0,-2,0.87,0.5,-1,990,N/A
2013,1,1,1,30,0,0,0,-2,0.87,0.5,-1,990,N/A
2013,1,1,2,30,0,0,0,-2,0.87,0.5,0,990,N/A
2013,1,1,3,30,0,0,0,-2,0.87,0.5,0,990,N/A
2013,1,1,4,30,0,0,0,-2,0.87,0.6000000000000001,0,990,N/A
2013,1,1,5,30,0,0,0,-2,0.87,0.6000000000000001,-1,990,N/A
2013,1,1,6,30,0,0,0,-3,0.87,0.6000000000000001,-2,990,N/A
2013,1,1,7,30,0,0,0,-5,0.87,0.6000000000000001,-3,1000,N/A
2013,1,1,8,30,18,0,18,-5,0.87,0.5,-3,1000,N/A
2013,1,1,9,30,47,0,47,-5,0.87,0.5,-4,1000,N/A
2013,1,1,10,30,116,0,116,-5,0.87,0.6000000000000001,-4,1000,N/A
2013,1,1,11,30,182,98,222,-5,0.87,0.6000000000000001,-4,1000,N/A
2013,1,1,12,30,180,90,217,-6,0.87,0.6000000000000001,-4,1000,N/A
2013,1,1,13,30,152,154,207,-7,0.87,0.6000000000000001,-5,1000,N/A
2013,1,1,14,30,103,287,181,-7,0.87,0.6000000000000001,-5,1000,N/A
2013,1,1,15,30,55,164,79,-8,0.87,0.6000000000000001,-6,1000,N/A
2013,1,1,16,30,0,0,0,-9,0.87,0.6000000000000001,-7,1000,N/A
2013,1,1,17,30,0,0,0,-10,0.87,0.5,-9,1000,N/A
2013,1,1,18,30,0,0,0,-12,0.87,0.4,-10,1000,N/A
2013,1,1,19,30,0,0,0,-14,0.87,0.2,-12,1000,N/A
2013,1,1,20,30,0,0,0,-17,0.87,0.2,-15,1000,N/A
2013,1,1,21,30,0,0,0,-19,0.87,0.2,-16,1000,N/A
2013,1,1,22,30,0,0,0,-20,0.87,0.2,-17,1000,N/A
2013,1,1,23,30,0,0,0,-21,0.87,0.2,-18,1000,N/A
2013,1,2,0,30,0,0,0,-22,0.87,0.2,-19,1000,N/A
2013,1,2,1,30,0,0,0,-22,0.87,0.30000000000000004,-19,1000,N/A
2013,1,2,2,30,0,0,0,-23,0.87,0.5,-20,1000,N/A
2013,1,2,3,30,0,0,0,-23,0.87,0.8,-20,1000,N/A
2013,1,2,4,30,0,0,0,-23,0.87,0.9,-19,1000,N/A
2013,1,2,5,30,0,0,0,-22,0.87,1,-18,1000,N/A
2013,1,2,6,30,0,0,0,-20,0.87,1,-17,1000,N/A
2013,1,2,7,30,0,0,0,-18,0.87,0.8,-14,1000,N/A
2013,1,2,8,30,20,0,20,-15,0.87,0.5,-11,1000,N/A
2013,1,2,9,30,111,141,149,-11,0.87,0.4,-7,1000,N/A
2013,1,2,10,30,150,64,173,-8,0.87,0.5,-5,1000,N/A
2013,1,2,11,30,159,27,170,-6,0.87,0.6000000000000001,-4,1000,N/A
2013,1,2,12,30,172,71,202,-5,0.87,0.6000000000000001,-3,1000,N/A
2013,1,2,13,30,152,92,186,-5,0.87,0.5,-3,1000,N/A
2013,1,2,14,30,115,97,142,-5,0.87,0.5,-3,1000,N/A
2013,1,2,15,30,52,480,123,-6,0.87,0.5,-4,1000,N/A
2013,1,2,16,30,0,0,0,-7,0.87,0.6000000000000001,-6,1000,N/A
2013,1,2,17,30,0,0,0,-9,0.87,0.6000000000000001,-8,1000,N/A
2013,1,2,18,30,0,0,0,-11,0.87,0.5,-10,1000,N/A
2013,1,2,19,30,0,0,0,-14,0.87,0.4,-12,1000,N/A
2013,1,2,20,30,0,0,0,-16,0.87,0.4,-14,1010,N/A
2013,1,2,21,30,0,0,0,-18,0.87,0.4,-16,1010,N/A
2013,1,2,22,30,0,0,0,-19,0.87,0.4,-17,1010,N/A
2013,1,2,23,30,0,0,0,-21,0.87,0.30000000000000004,-18,1010,N/A
2013,1,3,0,30,0,0,0,-22,0.87,0.30000000000000004,-19,1010,N/A
2013,1,3,1,30,0,0,0,-24,0.87,0.2,-21,1010,N/A
2013,1,3,2,30,0,0,0,-25,0.87,0.2,-23,1010,N/A
2013,1,3,3,30,0,0,0,-27,0.87,0.2,-24,1010,N/A
2013,1,3,4,30,0,0,0,-29,0.87,0.2,-25,1010,N/A
2013,1,3,5,30,0,0,0,-29,0.87,0.2,-25,1010,N/A
2013,1,3,6,30,0,0,0,-29,0.87,0.2,-26,1010,N/A
2013,1,3,7,30,0,0,0,-30,0.87,0.2,-24,1010,N/A
2013,1,3,8,30,44,587,133,-27,0.87,0.2,-21,1010,N/A
2013,1,3,9,30,70,739,274,-22,0.87,0.2,-17,1010,N/A
2013,1,3,10,30,89,796,380,-18,0.87,0.1,-14,1000,N/A
2013,1,3,11,30,106,795,433,-15,0.87,0.1,-11,1000,N/A
2013,1,3,12,30,120,749,427,-13,0.87,0.1,-9,1000,N/A
2013,1,3,13,30,145,267,242,-11,0.87,0.1,-8,1000,N/A
2013,1,3,14,30,91,609,260,-10,0.87,0.1,-8,1000,N/A
2013,1,3,15,30,60,391,118,-10,0.87,0.5,-9,1000,N/A
2013,1,3,16,30,0,0,0,-12,0.87,0.9,-10,1000,N/A
2013,1,3,17,30,0,0,0,-13,0.87,0.8,-11,1000,N/A
2013,1,3,18,30,0,0,0,-14,0.87,0.4,-11,1000,N/A
2013,1,3,19,30,0,0,0,-12,0.87,0.30000000000000004,-9,1000,N/A
2013,1,3,20,30,0,0,0,-10,0.87,0.30000000000000004,-8,1000,N/A
2013,1,3,21,30,0,0,0,-10,0.87,0.30000000000000004,-8,1000,N/A
2013,1,3,22,30,0,0,0,-10,0.87,0.4,-7,1000,N/A
2013,1,3,23,30,0,0,0,-9,0.87,0.4,-6,1000,N/A
2013,1,4,0,30,0,0,0,-8,0.87,0.5,-5,1000,N/A
2013,1,4,1,30,0,0,0,-7,0.87,0.5,-4,1000,N/A
2013,1,4,2,30,0,0,0,-6,0.87,0.4,-4,1000,N/A
2013,1,4,3,30,0,0,0,-6,0.87,0.4,-4,1000,N/A
2013,1,4,4,30,0,0,0,-7,0.87,0.4,-5,1000,N/A
2013,1,4,5,30,0,0,0,-7,0.87,0.4,-6,1000,N/A
2013,1,4,6,30,0,0,0,-8,0.87,0.4,-6,1000,N/A
2013,1,4,7,30,0,0,0,-7,0.87,0.4,-5,1000,N/A
2013,1,4,8,30,50,471,122,-6,0.87,0.4,-3,1000,N/A
2013,1,4,9,30,55,0,55,-3,0.87,0.5,-1,1000,N/A
2013,1,4,10,30,77,0,77,-2,0.87,0.5,0,1000,N/A
2013,1,4,11,30,159,339,299,-1,0.87,0.6000000000000001,0,1000,N/A
2013,1,4,12,30,180,304,306,-1,0.87,0.6000000000000001,0,1000,N/A
2013,1,4,13,30,165,203,239,-1,0.87,0.6000000000000001,0,1000,N/A
2013,1,4,14,30,99,4,101,-1,0.87,0.5,0,1000,N/A
2013,1,4,15,30,50,0,50,-1,0.87,0.5,0,1000,N/A
2013,1,4,16,30,0,0,0,-2,0.87,0.4,-1,1000,N/A
2013,1,4,17,30,0,0,0,-4,0.87,0.4,-2,1000,N/A
2013,1,4,18,30,0,0,0,-5,0.87,0.4,-3,1000,N/A
2013,1,4,19,30,0,0,0,-5,0.87,0.5,-3,1000,N/A
2013,1,4,20,30,0,0,0,-4,0.87,0.5,-2,1000,N/A
2013,1,4,21,30,0,0,0,-4,0.87,0.6000000000000001,-2,1000,N/A
2013,1,4,22,30,0,0,0,-3,0.87,0.7000000000000001,-2,1000,N/A
2013,1,4,23,30,0,0,0,-4,0.87,0.7000000000000001,-2,1000,N/A
2013,1,5,0,30,0,0,0,-4,0.87,0.7000000000000001,-2,1000,N/A
2013,1,5,1,30,0,0,0,-4,0.87,0.7000000000000001,-2,1000,N/A
2013,1,5,2,30,0,0,0,-3,0.87,0.7000000000000001,-2,1000,N/A
2013,1,5,3,30,0,0,0,-3,0.87,0.7000000000000001,-1,1000,N/A
2013,1,5,4,30,0,0,0,-3,0.87,0.7000000000000001,-1,1000,N/A
2013,1,5,5,30,0,0,0,-2,0.87,0.7000000000000001,-1,1000,N/A
2013,1,5,6,30,0,0,0,-2,0.87,0.7000000000000001,-1,1000,N/A
2013,1,5,7,30,0,0,0,-2,0.87,0.6000000000000001,0,1000,N/A
2013,1,5,8,30,35,0,35,-2,0.87,0.6000000000000001,0,1010,N/A
