Wavelength,Intensity
"	  270	","	0.410049203  "
"	  271	","	0.40820042  "
"	  272	","	0.424732964  "
"	  273	","	0.458445283  "
"	  274	","	0.476857706  "
"	  275	","	0.517385841  "
"	  276	","	0.567393815  "
"	  277	","	0.579877974  "
"	  278	","	0.600337716  "
"	  279	","	0.608592923  "
"	  280	","	0.640524801  "
"	  281	","	0.659214577  "
"	  282	","	0.666809599  "
"	  283	","	0.681030202  "
"	  284	","	0.68154752  "
"	  285	","	0.696873093  "
"	  286	","	0.711043405  "
"	  287	","	0.71348812  "
"	  288	","	0.728614174  "
"	  289	","	0.735142497  "
"	  290	","	0.743648635  "
"	  291	","	0.750331915  "
"	  292	","	0.760334446  "
"	  293	","	0.772059045  "
"	  294	","	0.780455751  "
"	  295	","	0.773373612  "
"	  296	","	0.787755069  "
"	  297	","	0.789831531  "
"	  298	","	0.8016745  "
"	  299	","	0.791842714  "
"	  300	","	0.806037801  "
"	  301	","	0.814009127  "
"	  302	","	0.816252831  "
"	  303	","	0.822137796  "
"	  304	","	0.829325191  "
"	  305	","	0.815176828  "
"	  306	","	0.827686844  "
"	  307	","	0.831117984  "
"	  308	","	0.838996371  "
"	  309	","	0.830529979  "
"	  310	","	0.827824515  "
"	  311	","	0.841266158  "
"	  312	","	0.840215026  "
"	  313	","	0.824153935  "
"	  314	","	0.822332977  "
"	  315	","	0.811374304  "
"	  316	","	0.81735142  "
"	  317	","	0.80411077  "
"	  318	","	0.801058728  "
"	  319	","	0.804827432  "
"	  320	","	0.808997446  "
"	  321	","	0.823275748  "
"	  322	","	0.823875771  "
"	  323	","	0.827693958  "
"	  324	","	0.825714332  "
"	  325	","	0.824717129  "
"	  326	","	0.836897766  "
"	  327	","	0.829588703  "
"	  328	","	0.843962101  "
"	  329	","	0.848318531  "
"	  330	","	0.85317068  "
"	  331	","	0.860982191  "
"	  332	","	0.864826028  "
"	  333	","	0.859455807  "
"	  334	","	0.88018043  "
"	  335	","	0.885001676  "
"	  336	","	0.890901747  "
"	  337	","	0.886022962  "
"	  338	","	0.904788918  "
"	  339	","	0.910388759  "
"	  340	","	0.907262762  "
"	  341	","	0.909089832  "
"	  342	","	0.908502958  "
"	  343	","	0.920044341  "
"	  344	","	0.917010673  "
"	  345	","	0.929662373  "
"	  346	","	0.928384383  "
"	  347	","	0.927330438  "
"	  348	","	0.936372251  "
"	  349	","	0.936609205  "
"	  350	","	0.936646095  "
"	  351	","	0.935233337  "
"	  352	","	0.94289359  "
"	  353	","	0.936065176  "
"	  354	","	0.938569673  "
"	  355	","	0.944045142  "
"	  356	","	0.949297962  "
"	  357	","	0.962658739  "
"	  358	","	0.968621421  "
"	  359	","	0.968762112  "
"	  360	","	0.970822684  "
"	  361	","	0.983150607  "
"	  362	","	0.977520776  "
"	  363	","	0.987911128  "
"	  364	","	0.996288812  "
"	  365	","	0.997484548  "
"	  366	","	0.992614457  "
"	  367	","	1  "
"	  368	","	0.997408525  "
"	  369	","	0.995791498  "
"	  370	","	0.987799139  "
"	  371	","	0.984944095  "
"	  372	","	0.982006768  "
"	  373	","	0.967136946  "
"	  374	","	0.963682976  "
"	  375	","	0.958324049  "
"	  376	","	0.940330344  "
"	  377	","	0.935057084  "
"	  378	","	0.928932158  "
"	  379	","	0.912500054  "
"	  380	","	0.901553965  "
"	  381	","	0.892440014  "
"	  382	","	0.87772568  "
"	  383	","	0.862196731  "
"	  384	","	0.863919645  "
"	  385	","	0.843552143  "
"	  386	","	0.83540959  "
"	  387	","	0.821759801  "
"	  388	","	0.812627611  "
"	  389	","	0.795005808  "
"	  390	","	0.784959101  "
"	  391	","	0.776424205  "
"	  392	","	0.764530483  "
"	  393	","	0.753718759  "
"	  394	","	0.73862403  "
"	  395	","	0.73758086  "
"	  396	","	0.726104248  "
"	  397	","	0.719718201  "
"	  398	","	0.702670649  "
"	  399	","	0.687826459  "
"	  400	","	0.684313352  "
"	  401	","	0.670139509  "
"	  402	","	0.663199161  "
"	  403	","	0.651188115  "
"	  404	","	0.637648758  "
"	  405	","	0.623258644  "
"	  406	","	0.618397478  "
"	  407	","	0.603579366  "
"	  408	","	0.593273891  "
"	  409	","	0.582985136  "
"	  410	","	0.572317611  "
"	  411	","	0.559443089  "
"	  412	","	0.549484509  "
"	  413	","	0.534967563  "
"	  414	","	0.529014497  "
"	  415	","	0.516247036  "
"	  416	","	0.503926109  "
"	  417	","	0.492888275  "
"	  418	","	0.483574518  "
"	  419	","	0.478005179  "
"	  420	","	0.465905981  "
"	  421	","	0.452777458  "
"	  422	","	0.447713813  "
"	  423	","	0.436179728  "
"	  424	","	0.425950857  "
"	  425	","	0.419525725  "
"	  426	","	0.408749514  "
"	  427	","	0.398954467  "
"	  428	","	0.399954621  "
"	  429	","	0.392222587  "
"	  430	","	0.381996778  "
"	  431	","	0.374597091  "
"	  432	","	0.3617221  "
"	  433	","	0.360502634  "
"	  434	","	0.351255663  "
"	  435	","	0.338902689  "
"	  436	","	0.336350445  "
"	  437	","	0.332345556  "
"	  438	","	0.323695261  "
"	  439	","	0.317734149  "
"	  440	","	0.309283226  "
"	  441	","	0.304473034  "
"	  442	","	0.295639687  "
"	  443	","	0.288294298  "
"	  444	","	0.281404763  "
"	  445	","	0.278748435  "
"	  446	","	0.267969575  "
"	  447	","	0.260977095  "
"	  448	","	0.255749516  "
"	  449	","	0.248690884  "
"	  450	","	0.24576517  "
"	  451	","	0.233337835  "
"	  452	","	0.228243432  "
"	  453	","	0.222403401  "
"	  454	","	0.215953182  "
"	  455	","	0.206534245  "
"	  456	","	0.201361462  "
"	  457	","	0.19155757  "
"	  458	","	0.185574209  "
"	  459	","	0.178694923  "
"	  460	","	0.169333153  "
"	  461	","	0.162563519  "
"	  462	","	0.156747712  "
"	  463	","	0.147966564  "
"	  464	","	0.141405167  "
"	  465	","	0.134180347  "
"	  466	","	0.126180116  "
"	  467	","	0.121451224  "
"	  468	","	0.11285469  "
"	  469	","	0.10620027  "
"	  470	","	0.101414152  "
"	  471	","	0.093958622  "
"	  472	","	0.086101834  "
"	  473	","	0.082186866  "
"	  474	","	0.076258242  "
"	  475	","	0.069852318  "
"	  476	","	0.064796295  "
"	  477	","	0.06132992  "
"	  478	","	0.056710277  "
"	  479	","	0.051313631  "
"	  480	","	0.047359855  "
"	  481	","	0.043846084  "
"	  482	","	0.039593179  "
"	  483	","	0.036704537  "
"	  484	","	0.033389882  "
"	  485	","	0.028612956  "
"	  486	","	0.025671022  "
"	  487	","	0.024251242  "
"	  488	","	0.021842584  "
"	  489	","	0.019727064  "
"	  490	","	0.017471252  "
"	  491	","	0.015742529  "
"	  492	","	0.015018895  "
"	  493	","	0.012707002  "
"	  494	","	0.01166609  "
"	  495	","	0.009773968  "
"	  496	","	0.009152434  "
"	  497	","	0.007673846  "
"	  498	","	0.007098969  "
"	  499	","	0.006561962  "
"	  500	","	0.005941177   "
